last_window_sale_amount,shop_code,class_code,date,time,total_sale_amount,last_hour_sale_amount,total_pass_rate,last_hour_pass_rate,rest_inventory,prom,discount,
205.44,100001001,0401,2018-05-28,13,46,24,0.624315444,0.201533406,17,0,,
56.02,100001001,0401,2018-05-28,14,53,7,0.702081051,0.077765608,10,0,,
23,100001001,0401,2018-05-28,15,56,3,0.73822563,0.036144578,7,0,,
16.02,100001001,0401,2018-05-28,16,58,2,0.769989047,0.031763417,5,0,,
17.64,100001001,0401,2018-05-28,17,60,2,0.807228916,0.037239869,3,0,,
0,100001001,0401,2018-05-28,18,60,0,0.843373494,0.036144578,3,0,,
20.3,100001001,0401,2018-05-28,19,62,2,0.883899233,0.040525739,1,0,,
0,100001001,0401,2018-05-28,20,62,0,0.918948521,0.035049288,1,0,,
0,100001001,0401,2018-05-28,21,62,0,0.946878423,0.027929901,1,0,,
12.5,100001001,0401,2018-05-28,22,63,1,0.966593647,0.019715225,0,0,,
0,100001001,0401,2018-05-28,23,63,0,0.982475356,0.015881709,0,0,,
130.06,100001001,0401,2018-05-29,13,32,16,0.620972146,0.173129437,27,0,,
62.24,100001001,0401,2018-05-29,14,40,8,0.703440743,0.082468596,19,0,,
25.6,100001001,0401,2018-05-29,15,43,3,0.740032769,0.036592026,16,0,,
0,100001001,0401,2018-05-29,16,43,0,0.766247952,0.026215183,16,1,8.9,
0,100001001,0401,2018-05-29,17,43,0,0.801747679,0.035499727,16,1,8.9,
47.08,100001001,0401,2018-05-29,18,49,6,0.849262698,0.047515019,10,0,,
37.24,100001001,0401,2018-05-29,19,53,4,0.885308575,0.036045877,6,0,,
16,100001001,0401,2018-05-29,20,55,2,0.917531404,0.032222829,4,0,,
0,100001001,0401,2018-05-29,21,55,0,0.942108138,0.024576734,4,0,,
8,100001001,0401,2018-05-29,22,56,1,0.965046423,0.022938285,3,0,,
0,100001001,0401,2018-05-29,23,56,0,0.989077007,0.024030584,3,1,3.9,
142.94,100001001,0401,2018-05-30,13,31,17,0.620821918,0.189041096,23,0,,
57.64,100001001,0401,2018-05-30,14,38,7,0.69260274,0.071780822,16,0,,
